label,adult_mortality,infant_deaths,alcohol,pct_expenditure,hep_b,measles,bmi,under_5_deaths,polio,total_expenditure,diptheria,hiv_aids,gdp,population,thinness_119,thinness_59,income_comp,schooling
1,81.0,0,9.46,2124.921517,92.0,0,59.2,1,93.0,8.61,94.0,0.1,18477.57841,19287.0,0.8,0.8,0.823,15.2
1,125.0,0,2.86,0.0,92.0,36,52.7,0,96.0,8.52,95.0,0.1,1524.41222,1332892.0,2.8,2.8,0.0,11.7
1,12.0,0,11.02,3256.724028,92.0,0,55.2,0,97.0,7.98,97.0,0.1,23841.31792,218122.0,1.8,1.8,0.865,16.8
1,14.0,10,4.72,69.43934508,93.0,0,52.2,12,92.0,5.3,93.0,0.2,522.493191,29373646.0,1.1,1.1,0.708,13.3
0,483.0,3,4.8,368.2848258,92.0,4,27.2,4,81.0,6.47,81.0,24.0,3288.257373,29228.0,13.7,13.7,0.559,11.7
0,284.0,8,5.75,12.60883976,95.0,94,44.4,10,95.0,3.47,95.0,0.1,149.926751,14858335.0,2.6,2.7,0.685,12.3
0,161.0,196,0.01,35.48458957,5.0,4067,11.6,264,9.0,2.51,87.0,0.1,432.7388972,139191.0,2.3,2.9,0.484,7.9
1,11.0,360,3.04,1.58668462,79.0,70549,23.4,427,87.0,4.72,87.0,0.1,158.668462,129675.0,5.1,4.6,0.622,10.2
0,473.0,50,8.19,780.0336423,76.0,39,45.7,75,77.0,7.75,79.0,23.5,5786.59972,49557573.3,8.9,1.7,0.616,12.9
0,333.0,14,4.4,16.72142854,92.0,1379,2.4,20,54.0,6.41,42.0,3.1,174.1815473,2991132.0,9.0,9.0,0.386,10.5
1,6.0,2,6.95,5219.668802,96.0,372,61.0,2,96.0,9.42,96.0,0.1,35849.37364,59277417.0,0.5,0.5,0.869,16.4
0,428.0,43,7.28,1038.885632,71.0,12499,47.2,62,72.0,8.5,72.0,11.0,7362.76139,5979432.36,7.3,8.9,0.63,12.8
0,227.0,0,0.7,325.1114746,83.0,0,38.7,0,88.0,6.44,84.0,0.1,944.81684,423853.0,1.4,1.4,0.442,6.6
1,149.0,0,7.28,22.86295206,97.0,0,4.8,0,97.0,4.21,97.0,0.1,1352.8374,1332892.0,3.5,3.4,0.0,0.0
0,194.0,18,5.88,0.27564826,95.0,4074,18.7,21,97.0,3.4,97.0,0.8,27.564826,6295821.0,9.4,9.7,0.64,10.9
0,219.0,69,4.73,11.69704463,7.0,7120,17.8,90,74.0,3.21,78.0,0.1,138.91977,77991569.0,1.0,9.6,0.618,11.4
1,65.0,0,13.03,1586.724172,88.0,0,54.8,0,98.0,6.42,98.0,0.1,23932.49128,1141.0,0.9,1.0,0.823,13.4
1,74.0,0,10.85,6853.628494,92.0,0,51.8,0,95.0,1.61,93.0,0.1,41336.72192,7284753.0,0.6,0.5,0.89,15.2
1,114.0,0,13.19,0.0,99.0,0,61.3,0,96.0,6.93,97.0,0.1,1524.41222,1332892.0,2.1,2.1,0.663,12.1
0,348.0,48,3.71,19.83929597,92.0,6074,12.2,92,45.0,5.6,45.0,4.0,226.4759814,1167942.0,11.4,11.1,0.0,3.4
0,21.0,0,10.2,42.87208671,95.0,7,57.2,0,97.0,6.26,95.0,0.1,353.147337,347818.0,3.3,3.3,0.757,14.7
1,123.0,1,6.48,421.4804282,94.0,0,55.7,1,94.0,7.46,94.0,0.1,6281.37747,332713.0,1.8,1.7,0.742,14.2
0,519.0,30,4.21,33.34691455,92.0,649,17.5,48,38.0,11.83,38.0,1.5,227.779471,4739147.0,1.1,1.2,0.302,7.0
0,177.0,16,2.53,0.0,92.0,0,25.7,21,98.0,5.67,62.0,0.1,1524.41222,1332892.0,5.9,6.0,0.663,12.1
0,23.0,1300,1.93,43.03043312,29.0,44258,14.9,1800,69.0,4.34,7.0,0.3,991.484634,119714696.0,27.0,27.9,0.556,10.2
