label,adult_mortality,infant_deaths,alcohol,pct_expenditure,hep_b,measles,bmi,under_5_deaths,polio,total_expenditure,diptheria,hiv_aids,gdp,population,thinness_119,thinness_59,income_comp,schooling
1,66.0,0,6.59,15268.06445,92.0,3,58.9,0,93.0,9.26,93.0,0.1,87646.75346,4889252.0,0.7,0.7,0.936,17.4
0,133.0,22,0.58,127.7632005,95.0,1217,49.9,25,97.0,5.23,97.0,0.1,2191.478567,3869346.0,6.4,6.3,0.575,10.0
0,249.0,25,1.8849999999999998,0.0,82.0,55,25.7,39,78.0,5.96,82.0,1.0,783.94791,1575952.0,6.9,6.8,0.481,10.7
1,89.0,1,0.03,2555.303869,99.0,0,67.1,1,99.0,2.13,99.0,0.1,45793.97614,1332892.0,3.2,3.1,0.787,13.9
1,184.0,1,13.24,1030.220271,92.0,0,57.6,1,99.0,8.42,99.0,0.1,8396.25323,1129552.0,2.1,2.1,0.784,14.9
0,165.0,2,0.09,36.199487,72.0,10,15.1,3,78.0,1.2,72.0,0.1,757.3114436,19221.0,11.6,11.6,0.599,12.1
0,395.0,57,5.44,7.562892922,82.0,100,24.4,89,81.0,4.76,82.0,7.0,111.71186,18395389.0,6.6,6.6,0.456,8.0
0,168.0,4,5.66,152.8293973,92.0,0,4.6,4,87.0,6.77,87.0,0.1,1148.229882,558611.0,2.4,2.3,0.632,12.2
1,137.0,30,2.03,0.0,92.0,6755,1.0,39,92.0,4.7,75.0,0.2,1524.41222,1332892.0,15.6,16.3,0.584,10.7
1,159.0,51,1.8849999999999998,0.0,93.0,5432,61.1,60,93.0,5.96,93.0,0.1,3260.6647590000002,1682963.5,2.8,2.8,0.688,13.1
1,13.0,3,1.3,585.8776761,97.0,48,58.3,3,97.0,7.18,97.0,0.1,4137.55421,1886668.0,6.4,6.3,0.717,14.6
1,73.0,1,9.84,46.3871819,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1
0,419.0,9,2.3,0.0,92.0,2152,19.8,14,32.0,2.44,31.0,7.6,1524.41222,1332892.0,9.4,9.0,0.487,9.7
