dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test,avg_acc_test,max_acc_test,stdev_acc_test,min_acc_train,avg_acc_train,max_acc_train,stdev_acc_train,top1,top1_25,top1_75,top2,top2_25,top2_75,top3,top3_25,top3_75,top4,top4_25,top4_75,top5,top5_25,top5_75,gradnorm,gradnorm_25,gradnorm_75
whobin,0.3,10,128,soft,75,5,sgd,0,0,0,0,0.01,random,None,0.0,0.8,softplus,1,10481422,0.825136612021858,0.8265437158469955,0.8620218579234973,0.0036424720719516286,0.8533697632058288,0.8560018214936252,0.8916211293260473,0.0036654476106078577,1.0,1.0,1.0,0.99,0.99,0.99,0.9933333333333333,0.9866666666666667,0.9933333333333333,0.99,0.99,0.995,0.9919999999999999,0.9919999999999999,0.996,0.0006755268357715924,0.0004909008060509641,0.0013405600467489304
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.5,random,None,0.0,0.8,standard,0,10481450,0.7185792349726776,0.8407513661202185,0.8770491803278688,0.03116446608990848,0.8178506375227687,0.8438752276867031,0.9143897996357013,0.01081324880782189,0.7431313131313131,0.5579292929292929,0.8286868686868687,0.5646969696969697,0.5393686868686869,0.5929545454545455,0.5663636363636315,0.5157575757575714,0.6350673400673299,0.5431565656565657,0.5045328282828283,0.626780303030303,0.5456969696969636,0.5098383838383815,0.6329393939393917,0.13752132755625956,0.13166352506022325,0.17323549422103726
whobin,0.001,10,128,relu,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10481453,0.8442622950819673,0.8763251366120218,0.9057377049180327,0.0092482504702957,0.9089253187613844,0.9224316939890709,0.9316939890710383,0.004333576039222078,0.8493939393939394,0.7791919191919192,0.9212121212121213,0.682979797979798,0.6442424242424243,0.7236363636363636,0.6493939393939265,0.6045117845117753,0.695488215488193,0.6106313131313131,0.588030303030303,0.6409974747474747,0.5986868686868618,0.5812020202020114,0.6200505050504969,0.634054669457252,0.5152258844306367,0.8285230278339915
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.05,random,None,0.2,0.8,adversarial,1,10481417,0.7786885245901639,0.8458879781420765,0.8756830601092896,0.016482788178289833,0.7563752276867031,0.8103825136612022,0.8624772313296903,0.022555560041992606,0.9604040404040404,0.6222222222222222,1.0,0.8749494949494949,0.7406565656565657,0.9408080808080808,0.7168013468013208,0.6610437710437442,0.8059764309763975,0.6852525252525252,0.6093308080808081,0.7550757575757576,0.6815555555555444,0.5901212121212063,0.7242525252525305,0.0736357112422098,0.029549265702235435,0.08799919988753027
whobin,0.001,10,128,soft,100,5,adam,0,0,0,0,0.1,random,None,0.0,0.8,softplus,0,10481461,0.8674863387978142,0.8785245901639347,0.8961748633879781,0.0046915042692636695,0.8902550091074681,0.9094990892531878,0.9175774134790529,0.00533258396748078,0.98,0.98,1.0,0.7637373737373737,0.7391666666666666,0.8150000000000001,0.9360942760942685,0.9071717171717038,0.9603367003367,0.7930303030303031,0.778270202020202,0.8045833333333333,0.7438383838383977,0.7129494949494936,0.7651717171717373,0.9169351957205092,0.6502446416174148,0.9968563441962359
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.05,random,None,0.2,0.8,adversarial,1,10481416,0.7786885245901639,0.8458879781420765,0.8756830601092896,0.016482788178289833,0.7563752276867031,0.8103825136612022,0.8624772313296903,0.022555560041992606,0.9604040404040404,0.6222222222222222,1.0,0.8749494949494949,0.7406565656565657,0.9408080808080808,0.7168013468013208,0.6610437710437442,0.8059764309763975,0.6852525252525252,0.6093308080808081,0.7550757575757576,0.6815555555555444,0.5901212121212063,0.7242525252525305,0.0736357112422098,0.029549265702235435,0.08799919988753027
whobin,0.001,10,128,relu,25,5,adam,0,0,0,0,0.05,random,None,0.0,0.8,standard,1,10481409,0.8456284153005464,0.8537431693989075,0.8756830601092896,0.0039585440214182695,0.8897996357012751,0.9166894353369764,0.9207650273224044,0.0032066663243980947,1.0,0.98,1.0,0.99,0.98,1.0,0.9933333333333333,0.8923905723905625,0.9933333333333333,0.9372727272727273,0.8787878787878788,0.9851136363636364,0.9400606060606325,0.8913030303030791,0.9880000000000001,0.1042672226494468,0.07659969338913655,0.19600723100936046
whobin,0.3,10,128,soft,100,5,sgd,0,0,0,0,0.3,random,None,0.0,0.8,softplus,1,10481422,0.7991803278688525,0.84379781420765,0.8729508196721312,0.01544044647995559,0.8438069216757741,0.8601320582877957,0.8934426229508197,0.006468025822814747,1.0,1.0,1.0,0.8989393939393939,0.7606060606060605,1.0,0.8733333333333199,0.8195959595959282,0.9369023569023556,0.9126262626262627,0.8422979797979798,0.9806060606060606,0.9130707070707382,0.8645454545454964,0.9553333333333518,0.012006933807173548,0.006098073429734831,0.014169546609331866
whobin,0.001,10,128,soft,75,5,adam,0,0,0,0,0.5,random,None,0.0,0.8,softplus,0,10481461,0.8169398907103825,0.8595218579234968,0.8961748633879781,0.011452708158864264,0.831511839708561,0.85028233151184,0.900728597449909,0.007870080395656037,0.9218181818181819,0.8656060606060606,0.9604040404040404,0.6737878787878788,0.6388636363636363,0.7116414141414141,0.671346801346786,0.6283164983164868,0.7122727272727001,0.6751767676767677,0.6399368686868687,0.7252146464646465,0.6840404040404047,0.6596363636363649,0.7315656565656676,0.4499912146006777,0.33823597555099977,0.5145637168599143
whobin,0.3,10,128,relu,25,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10481450,0.7704918032786885,0.8603278688524587,0.9002732240437158,0.021149835376305007,0.8538251366120219,0.8913205828779599,0.9134790528233151,0.011815552631332807,0.8461616161616161,0.7921212121212121,0.9022222222222223,0.8556060606060606,0.5889646464646464,0.9029292929292929,0.6650505050504751,0.5714478114478087,0.693316498316471,0.5988888888888888,0.5382575757575757,0.620479797979798,0.5822222222222169,0.5177575757575706,0.602606060606051,0.294768680300615,0.19366601752009574,0.3833009069754462
