dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test,avg_acc_test,max_acc_test,stdev_acc_test,min_acc_train,avg_acc_train,max_acc_train,stdev_acc_train,top1,top1_25,top1_75,top2,top2_25,top2_75,top3,top3_25,top3_75,top4,top4_25,top4_75,top5,top5_25,top5_75,gradnorm,gradnorm_25,gradnorm_75
whobin,0.2,10,128,relu,5,3,sgd,0,0,0,0,0.2,random,None,0.2,0.8,standard,0,10177579,0.5068306010928961,0.8457240437158472,0.8852459016393442,0.05216835709946142,0.49954462659380694,0.8598952641165755,0.8993624772313297,0.05868210544567365,0.24686868686868688,0.22323232323232323,0.26626262626262626,0.3238888888888889,0.30553030303030304,0.34022727272727277,0.3689225589225528,0.35101010101009394,0.3939898989898924,0.4131818181818182,0.39369949494949497,0.45522727272727276,0.465737373737374,0.434404040404046,0.5084242424242401,0.435187927715872,0.38233410383601274,0.5497032582405407
whobin,0.2,10,128,relu,75,5,sgd,0,0,0,0,0.1,random,None,0.2,0.8,adversarial,1,102412523,0.7759562841530054,0.80905737704918,0.8510928961748634,0.014760238299436616,0.8214936247723132,0.845,0.8647540983606558,0.008672629260666682,0.8181818181818182,0.6767676767676768,0.9412121212121212,0.7766666666666666,0.6928787878787879,0.871540404040404,0.7883838383838129,0.7165993265993033,0.877407407407401,0.7808333333333333,0.7239393939393939,0.8432070707070707,0.7797575757575883,0.7306464646464806,0.8317474747475175,0.018817582973507392,0.008557686828976436,0.039881496049948624
whobin,0.2,10,128,relu,5,2,sgd,0,0,0,0,0.0,random,None,0.5,0.8,adversarial,0,10204139,0.5846994535519126,0.8399043715846989,0.8674863387978142,0.02909014674083523,0.5295992714025501,0.7472859744990891,0.8242258652094717,0.03755960709577291,0.24606060606060606,0.19631313131313133,0.41318181818181815,0.3221717171717172,0.2786363636363637,0.42621212121212126,0.3744107744107713,0.3450505050505008,0.439006734006729,0.4114646464646465,0.39362373737373735,0.44545454545454544,0.4456363636363713,0.43327272727273863,0.4608484848484876,0.43407559349936276,0.35627739480442344,0.4797739468911678
whobin,0.2,10,128,relu,25,5,sgd,0,0,0,0,0.01,random,None,0.2,0.8,adversarial,0,102412101,0.523224043715847,0.8513114754098361,0.8961748633879781,0.04078170669190671,0.6602914389799636,0.8304644808743166,0.8806921675774135,0.02408288228238355,0.5168686868686869,0.35368686868686866,0.6345454545454545,0.5787878787878789,0.5352777777777777,0.643560606060606,0.6248821548821528,0.5450505050505037,0.7296801346801203,0.5801010101010101,0.5347853535353535,0.649520202020202,0.5664242424242373,0.5432828282828228,0.6027878787878627,0.1429415296878607,0.11314827960952813,0.22937041178123452
whobin,0.2,10,128,soft,25,5,sgd,0,0,0,0,0.0,random,None,0.2,0.8,softplus,1,10241231,0.49863387978142076,0.498633879781421,0.49863387978142076,1.6653345369377348e-16,0.5519125683060109,0.5519125683060101,0.5519125683060109,1.1102230246251565e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
whobin,0.2,10,128,soft,3,3,sgd,0,0,0,0,0.5,random,None,0.2,0.8,softplus,,10203693,0.8346994535519126,0.846543715846995,0.8756830601092896,0.005847425422047705,0.8497267759562842,0.8569080145719491,0.894808743169399,0.004880300763581503,0.98,0.9602020202020202,0.98,0.9330808080808081,0.7516161616161616,0.99,0.8464646464646225,0.8177104377104076,0.9180471380471295,0.8749494949494949,0.8182070707070708,0.9851010101010101,0.9332323232323526,0.8777878787879191,0.9881616161616212,0.07946983687136869,0.06740155241374196,0.12638251276123436
whobin,0.001,10,128,soft,75,5,adam,0,0,0,0,0.5,random,None,0.2,0.8,softplus,0,102411717,0.819672131147541,0.8568989071038251,0.8961748633879781,0.008885821821110937,0.8579234972677595,0.8681466302367938,0.900728597449909,0.005809313678994346,0.8286868686868687,0.6304040404040404,0.902020202020202,0.6402020202020202,0.5943181818181819,0.6738636363636363,0.694680134680113,0.6558080808080642,0.7359932659932443,0.7491414141414141,0.6946969696969698,0.7820959595959596,0.76581818181821,0.6731515151515131,0.8283434343434622,0.44778323072266746,0.3817547391301596,0.5106101585390463
whobin,0.2,10,128,relu,5,3,sgd,0,0,0,0,0.0,random,None,0.2,0.8,standard,1,10203160,0.8866120218579235,0.8866120218579242,0.8866120218579235,2.220446049250313e-16,0.8857012750455373,0.8857012750455353,0.8857012750455373,1.1102230246251565e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
whobin,0.001,10,128,soft,75,5,adam,0,0,0,0,0.0,random,None,0.2,0.8,softplus,0,10241171,0.8579234972677595,0.8931693989071035,0.907103825136612,0.008084385041264202,0.8934426229508197,0.9045901639344265,0.9148451730418944,0.0042545038001229035,0.734040404040404,0.52,0.8850505050505051,0.8266666666666667,0.6792424242424242,0.9033585858585859,0.7311784511784256,0.7059932659932435,0.7566161616161367,0.7396212121212121,0.6985858585858586,0.7699747474747474,0.7622222222222441,0.6998585858585922,0.7936767676767926,0.5632891971871914,0.344219186352031,0.7524934345650789
whobin,0.2,10,128,soft,25,5,sgd,0,0,0,0,0.5,random,None,0.2,0.8,softplus,1,102412317,0.49863387978142076,0.498633879781421,0.49863387978142076,1.6653345369377348e-16,0.4990892531876138,0.5022677595628415,0.5519125683060109,0.005098547422116869,0.98,0.5522727272727272,1.0,0.9701515151515152,0.7411868686868687,0.99,0.833198653198625,0.8121885521885203,0.9933333333333333,0.8691919191919192,0.8370075757575757,0.985,0.8930909090909508,0.7989898989898676,0.9697070707070756,0.00025090255597367693,0.00014881789211476523,0.00038106761743955366
