dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test_orig,avg_acc_test_orig,max_acc_test_orig,stdev_acc_test_orig,min_acc_train_orig,avg_acc_train_orig,max_acc_train_orig,stdev_acc_train_orig,min_acc_test_shift,avg_acc_test_shift,max_acc_test_shift,stdev_acc_test_shift,min_acc_train_shift,avg_acc_train_shift,max_acc_train_shift,stdev_acc_train_shift,top1_orig,top1_25_orig,top1_75_orig,top2_orig,top2_25_orig,top2_75_orig,top3_orig,top3_25_orig,top3_75_orig,top4_orig,top4_25_orig,top4_75_orig,top5_orig,top5_25_orig,top5_75_orig,gradnorm_orig,gradnorm_25_orig,gradnorm_75_orig,top1_shift,top1_25_shift,top1_75_shift,top2_shift,top2_25_shift,top2_75_shift,top3_shift,top3_25_shift,top3_75_shift,top4_shift,top4_25_shift,top4_75_shift,top5_shift,top5_25_shift,top5_75_shift,gradnorm_shift,gradnorm_25_shift,gradnorm_75_shift,top1_orig_compare,top1_25_orig_compare,top1_75_orig_compare,top2_orig_compare,top2_25_orig_compare,top2_75_orig_compare,top3_orig_compare,top3_25_orig_compare,top3_75_orig_compare,top4_orig_compare,top4_25_orig_compare,top4_75_orig_compare,top5_orig_compare,top5_25_orig_compare,top5_75_orig_compare,gradnorm_orig_compare,gradnorm_25_orig_compare,gradnorm_75_orig_compare,top1_shift_compare,top1_25_shift_compare,top1_75_shift_compare,top2_shift_compare,top2_25_shift_compare,top2_75_shift_compare,top3_shift_compare,top3_25_shift_compare,top3_75_shift_compare,top4_shift_compare,top4_25_shift_compare,top4_75_shift_compare,top5_shift_compare,top5_25_shift_compare,top5_75_shift_compare,gradnorm_shift_compare,gradnorm_25_shift_compare,gradnorm_75_shift_compare
whobin_75,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481477,0.8597449908925319,0.8747905282331516,0.8888888888888888,0.006605872084255301,0.8864602307225258,0.9049969641772921,0.9162112932604736,0.00488943162706528,0.8524590163934426,0.874193989071038,0.8866120218579235,0.006486108037935349,0.8979963570127505,0.9175409836065572,0.9285063752276868,0.0055774152636641865,0.9602020202020202,0.9216161616161617,0.98,0.7070707070707071,0.6723232323232323,0.7395959595959596,0.730101010100988,0.6983164983164744,0.7639730639730417,0.7483838383838384,0.7096464646464646,0.7877272727272727,0.7444040404040568,0.6986666666666742,0.7802828282828539,0.7849835321262746,0.73490179858618,0.9596453870679651,0.9602020202020202,0.9406060606060606,0.98,0.733030303030303,0.7105050505050505,0.7646969696969697,0.8578787878787746,0.8153367003366787,0.9108417508417486,0.7515404040404041,0.7316666666666667,0.7778787878787878,0.7088080808080929,0.6824141414141355,0.7305353535353643,0.8334322409660628,0.7862617641771664,1.041258872692043,0.97,0.95,0.98,0.885,0.865,0.91,0.8600000000000001,0.8433333333333333,0.8733333333333337,0.865,0.8525,0.88,0.8579999999999991,0.8459999999999992,0.8679999999999995,1.4637000054545972,1.3257837945392403,1.8927639189721488,0.965,0.95,0.98,0.885,0.86,0.905,0.856666666666667,0.8366666666666669,0.8733333333333334,0.865,0.85,0.8775,0.857999999999999,0.845999999999999,0.8679999999999992,1.4919679185937675,1.3376521863112318,2.047422589739706
whobin_62,0.001,10,128,soft,75,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481473,0.8427947598253275,0.8605021834061133,0.8755458515283843,0.006592982673247231,0.8899416909620991,0.9105174927113704,0.922740524781341,0.00608838835367782,0.8784153005464481,0.8994808743169393,0.9193989071038251,0.006014591531953466,0.9043715846994536,0.920054644808743,0.9289617486338798,0.004587000529042678,0.98,0.9604040404040404,1.0,0.759090909090909,0.7162373737373737,0.8017171717171717,0.820101010100992,0.7596464646464428,0.8534511784511696,0.7652525252525253,0.7259848484848486,0.7916287878787879,0.7413535353535489,0.6855959595959609,0.7719494949495214,0.8570447280993341,0.7783656870480138,0.9864891846704702,0.9604040404040404,0.9602020202020202,0.98,0.8542929292929293,0.8034343434343434,0.9061616161616162,0.9295286195286154,0.8769528619528533,0.9606734006733956,0.8125,0.7659090909090909,0.8342676767676768,0.7539595959596141,0.6986464646464643,0.7779090909091203,0.9650482696834958,0.883693801878716,1.1448139210375483,0.98,0.97,0.99,0.89,0.845,0.915,0.9066666666666667,0.8833333333333335,0.9200000000000003,0.84,0.825,0.8525,0.8139999999999987,0.8019999999999989,0.8259999999999988,2.599773093145081,1.7599115590099517,3.1979058241268503,0.98,0.97,0.99,0.88,0.835,0.91125,0.9033333333333335,0.8833333333333335,0.9233333333333333,0.835,0.8225,0.8475,0.8119999999999991,0.799999999999999,0.8224999999999991,2.665495611502177,1.8478800487361073,3.3103449304276973
whobin_94,0.001,10,128,soft,25,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481479,0.8369723435225619,0.8559679767103345,0.8719068413391557,0.008232531713580444,0.869290573372206,0.8963313896987367,0.9120505344995141,0.007224981243708334,0.860655737704918,0.8815163934426229,0.9016393442622951,0.00687649880236393,0.8793260473588342,0.8982741347905281,0.9093806921675774,0.00508099394287966,0.8105050505050505,0.7262626262626263,0.8833333333333333,0.6272727272727273,0.604090909090909,0.6590404040404041,0.6768350168349948,0.6443097643097486,0.707878787878768,0.7222222222222222,0.6881313131313131,0.7540909090909091,0.7299393939394083,0.6950505050505136,0.7734343434343689,0.8312338641168084,0.668961612301838,0.9200584604582118,0.8751515151515152,0.8121212121212121,0.9212121212121213,0.6683333333333333,0.6424747474747474,0.7098484848484848,0.7154882154881974,0.669141414141393,0.7679797979797764,0.6998989898989899,0.6597979797979798,0.7628409090909091,0.6754141414141461,0.6411616161616163,0.7331212121212348,0.8013259722756985,0.6618988050475928,0.9041464516973154,0.9,0.87,0.94,0.83,0.815,0.85,0.85,0.8333333333333336,0.8633333333333336,0.86,0.85,0.875,0.8519999999999993,0.8419999999999994,0.8619999999999993,1.1749220626932988,0.9485745092166914,1.5815419345727753,0.9,0.87,0.93,0.83,0.815,0.85,0.846666666666667,0.8333333333333335,0.8633333333333334,0.86,0.85,0.873125,0.8519999999999991,0.8419999999999992,0.8619999999999992,1.165155577945153,0.880307401380691,1.6408453269353298
whobin_50,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481469,0.8032786885245902,0.8466393442622953,0.8879781420765027,0.017382096218637847,0.8688524590163934,0.8877959927140253,0.9116575591985429,0.009216109756410575,0.8688524590163934,0.8888524590163936,0.9084699453551912,0.007590319330239769,0.9084699453551912,0.9241757741347907,0.930783242258652,0.00420844611576462,0.8104040404040405,0.6935858585858586,0.883030303030303,0.5856565656565658,0.5586111111111112,0.6042171717171717,0.6037710437710349,0.5854882154882105,0.6209090909090822,0.6695707070707071,0.6256691919191919,0.6948989898989899,0.7196363636363768,0.6690101010101004,0.7589898989899286,0.6174822260534591,0.5718050028480282,0.7670367691456575,0.9602020202020202,0.9406060606060606,0.98,0.8476767676767677,0.7852020202020201,0.8956313131313132,0.8583838383838263,0.8049494949494763,0.8929461279461199,0.7404292929292929,0.7153030303030303,0.7596085858585859,0.678606060606056,0.6615959595959521,0.6946868686868665,1.056849409431528,0.6929504230149981,1.2271475684880866,0.89,0.84,0.92,0.645,0.615,0.68,0.678333333333333,0.6474999999999995,0.7133333333333333,0.715,0.6925,0.7275,0.7179999999999995,0.7019999999999995,0.7299999999999994,5.019644580147462,2.496527219430739,6.2017853875550415,0.89,0.84,0.93,0.64,0.60875,0.68,0.6766666666666663,0.643333333333333,0.7166666666666663,0.71,0.69,0.7275,0.7159999999999995,0.6999999999999994,0.7299999999999993,5.112744717696918,2.5283814311266855,6.117278458600526
whobin_94,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481480,0.8544395924308588,0.8678165938864627,0.8820960698689956,0.006456371217151417,0.8877551020408163,0.9074344023323618,0.9173955296404276,0.0055989244485851975,0.8647540983606558,0.8841939890710385,0.8989071038251366,0.006927872968705816,0.8929872495446266,0.9060109289617487,0.9139344262295082,0.004523121144567952,0.98,0.9602020202020202,1.0,0.7079797979797979,0.6907070707070707,0.7319696969696969,0.7818855218854975,0.7513131313131092,0.8108417508417276,0.804949494949495,0.7699494949494949,0.8304292929292929,0.7821414141414508,0.7590707070707321,0.8092525252525626,0.8476816518158706,0.7657238790821491,1.0187557387350452,0.98,0.9602020202020202,0.98,0.7987878787878788,0.7356313131313131,0.8558585858585859,0.8555218855218714,0.8138383838383598,0.9053198653198581,0.7751515151515151,0.7448989898989898,0.8035606060606061,0.7285252525252621,0.6975353535353555,0.7457878787878989,0.8267483239356024,0.7656901279931297,0.976622069557574,0.98,0.96,0.99,0.84,0.82,0.865,0.8800000000000001,0.8616666666666668,0.8966666666666668,0.86,0.8475,0.87625,0.8339999999999991,0.8279999999999987,0.8419999999999989,1.568795108772735,1.403953662595665,2.2022913762286005,0.98,0.96,0.99,0.84,0.815,0.865,0.876666666666667,0.8600000000000003,0.8941666666666669,0.8575,0.8475,0.875,0.8339999999999991,0.8279999999999988,0.8419999999999989,1.5551795321940625,1.3819488052973312,2.2292889693498967
whobin_50,0.001,10,128,soft,100,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481467,0.819672131147541,0.8702185792349728,0.9016393442622951,0.015773808769247045,0.8852459016393442,0.915610200364299,0.9298724954462659,0.008328449702216736,0.8797814207650273,0.8925136612021857,0.9193989071038251,0.005750311417641882,0.9166666666666666,0.9268897996357013,0.9339708561020036,0.003474218572685668,0.98,0.9408080808080808,0.98,0.6758585858585858,0.6558080808080808,0.698510101010101,0.7100673400673164,0.6917003367003173,0.7384511784511538,0.7924747474747476,0.772790404040404,0.8134343434343434,0.8839797979798332,0.8421212121212445,0.9112929292929454,1.021449136269334,0.6845586282554216,1.1481849356576392,0.98,0.98,1.0,0.9512121212121212,0.9236363636363636,0.9706060606060606,0.9604713804713816,0.9081649831649778,0.9800673400673401,0.7817171717171717,0.7586742424242424,0.7954419191919192,0.7087878787878783,0.6877979797979701,0.7267272727272782,0.9481237021003824,0.8755372446926742,1.0979894234573562,0.98,0.97,0.99,0.69,0.64125,0.735,0.6533333333333327,0.6333333333333325,0.683333333333333,0.6775,0.6575,0.689375,0.6719999999999997,0.6600000000000001,0.6839999999999996,4.208185192002719,3.808013318420148,5.0185948907917695,0.98,0.97,0.99,0.685,0.62875,0.735,0.6533333333333329,0.6333333333333327,0.683333333333333,0.6775,0.661875,0.69,0.6719999999999997,0.662,0.6839999999999997,4.242409625681969,3.870710079065169,5.016941286925682
whobin_94,0.001,10,128,relu,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480234,0.8864628820960698,0.8982823871906838,0.9155749636098981,0.005634823679504029,0.8945578231292517,0.9073275024295435,0.9173955296404276,0.00399869458630047,0.8907103825136612,0.9059016393442625,0.9193989071038251,0.005543418914933789,0.9052823315118397,0.9148315118397089,0.930783242258652,0.003912744155057526,0.521010101010101,0.3427272727272727,0.7022222222222222,0.5504040404040405,0.4695454545454546,0.6321717171717172,0.5690235690235674,0.538720538720538,0.6064309764309694,0.5892929292929293,0.5668939393939394,0.6079040404040403,0.598545454545448,0.5800808080808006,0.6211717171717153,0.49421733455998773,0.32772579965546633,0.6218366428764887,0.5374747474747474,0.3362121212121212,0.7237373737373738,0.6244949494949494,0.4671969696969697,0.7490656565656566,0.5784848484848404,0.528703703703702,0.6295286195285996,0.5704292929292929,0.5448989898989899,0.5895580808080808,0.5711515151515099,0.5486262626262581,0.5939090909090816,0.5636608224433126,0.31582987559302933,0.680444896689429,0.71,0.61,0.8,0.72,0.675,0.78,0.7300000000000001,0.7066666666666666,0.7599999999999999,0.74,0.7175,0.76,0.7499999999999994,0.7279999999999994,0.7719999999999991,1.4982530887022991,0.77824455453016,2.346945464127742,0.7,0.61,0.81,0.715,0.6737500000000001,0.78,0.73,0.7066666666666664,0.7541666666666667,0.7375,0.715,0.76,0.7479999999999998,0.7259999999999996,0.7719999999999994,1.4515444510122595,0.6915667567026654,2.296964650095157
whobin_62,0.001,10,128,soft,100,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481474,0.8471615720524017,0.8630131004366811,0.8842794759825328,0.006510944853926187,0.880466472303207,0.9128498542274057,0.9285714285714286,0.005721695046172569,0.8825136612021858,0.8994672131147535,0.9344262295081968,0.0061493470328235905,0.9093806921675774,0.9210109289617491,0.9280510018214936,0.00408742722954147,0.9604040404040404,0.9602020202020202,0.98,0.815050505050505,0.7341666666666666,0.8688636363636364,0.8179461279461079,0.7637373737373525,0.8587710437710362,0.7544191919191919,0.7206439393939393,0.782260101010101,0.74303030303032,0.678616161616155,0.7744949494949809,0.9933765862951792,0.646446257968097,1.1243786843639956,0.98,0.9602020202020202,0.98,0.8875252525252526,0.8427272727272728,0.9322727272727273,0.9474410774410802,0.9062626262626182,0.9608754208754224,0.8025252525252525,0.7615656565656566,0.8204545454545454,0.7579393939394137,0.6925353535353482,0.783262626262658,0.8935185219614313,0.8262112772725483,1.0302003349905964,0.97,0.96,0.98,0.91,0.875,0.94,0.9,0.8766666666666666,0.9166666666666667,0.8275,0.8075,0.84,0.7959999999999987,0.7799999999999989,0.811999999999999,2.5843298648600728,2.355740512426791,3.320237399187521,0.97,0.96,0.98,0.91,0.85875,0.935,0.9000000000000001,0.8733333333333335,0.9166666666666669,0.825,0.8025,0.8375,0.789999999999999,0.7759999999999991,0.8099999999999987,2.6202701811997233,2.3760952983739525,3.2402884639695717
whobin_62,0.2,10,128,relu,75,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480274,0.8034934497816594,0.8619432314410476,0.8930131004366813,0.018319427878792954,0.8556851311953353,0.883622448979592,0.9067055393586005,0.011246738296256473,0.7062841530054644,0.8938661202185795,0.9371584699453552,0.03738963723650707,0.8902550091074681,0.908506375227687,0.9239526411657559,0.006786646677863,0.6604040404040404,0.5416161616161617,0.7591919191919192,0.5096464646464647,0.45224747474747473,0.5401262626262626,0.4960269360269356,0.4475252525252533,0.5243434343434317,0.5062121212121212,0.4725631313131313,0.5295328282828283,0.5204040404040331,0.4981818181818174,0.5396262626262582,0.08323084779066853,0.07210881814944851,0.13605379069404083,0.5982828282828283,0.3228787878787879,0.8463131313131314,0.6027777777777779,0.4432070707070707,0.7484848484848485,0.5759595959595933,0.49156565656565887,0.6199999999999927,0.547070707070707,0.5197348484848485,0.5661742424242424,0.5437171717171689,0.5280606060606041,0.567808080808075,0.10936891405057861,0.08354823367907185,0.16177286592273898,0.71,0.4825,0.85,0.615,0.57,0.645,0.6299999999999997,0.5941666666666665,0.663333333333333,0.6487499999999999,0.6225,0.685,0.6679999999999996,0.6419999999999998,0.6959999999999995,0.43760089240159683,0.3504209299691996,0.6697464581132688,0.69,0.48,0.84,0.605,0.56,0.64,0.623333333333333,0.5933333333333333,0.6599999999999996,0.6475,0.6218750000000001,0.68,0.6679999999999997,0.6400000000000001,0.6939999999999996,0.42493591760077104,0.3220198149989384,0.679749375896219
whobin_50,0.001,10,128,soft,25,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481470,0.7868852459016393,0.8308469945355192,0.855191256830601,0.011695106172065506,0.8296903460837887,0.85120218579235,0.8743169398907104,0.008152867915321205,0.8524590163934426,0.8775546448087431,0.8975409836065574,0.009052863400716824,0.8961748633879781,0.9138752276867033,0.9239526411657559,0.005707867238143048,0.23292929292929293,0.17742424242424243,0.29525252525252527,0.34484848484848485,0.2970202020202021,0.3900505050505051,0.4108417508417473,0.37685185185184555,0.4512121212121214,0.46719696969696967,0.43950757575757576,0.5065151515151516,0.5098989898989861,0.48792929292929277,0.5503434343434308,0.4538470601773543,0.4371533223422018,0.5381804055876647,0.8832323232323233,0.8303030303030303,0.9026262626262627,0.6856565656565656,0.6556313131313132,0.7375252525252526,0.7179124579124443,0.6881649831649627,0.7571717171717004,0.699469696969697,0.6663383838383838,0.7347222222222223,0.6713131313131298,0.6412828282828218,0.7000505050505125,0.9108493666592643,0.6557408929066989,1.0680023532390495,0.47,0.38,0.53,0.545,0.49124999999999996,0.585,0.6066666666666664,0.5566666666666665,0.6399999999999997,0.6487499999999999,0.608125,0.6725,0.6799999999999996,0.638,0.7019999999999996,4.719393286472634,2.8372611554200415,6.306155025867878,0.47,0.36,0.53,0.545,0.495,0.585,0.603333333333333,0.5566666666666665,0.6433333333333328,0.645,0.61,0.67,0.6759999999999997,0.6400000000000001,0.6979999999999997,4.747493547983575,2.9673340551180036,5.900458738392237
